Name,School,Speaks,Ranks
Neva Ware,Columbia Blue Ivy (Carter),133.5,6.0
Roxanne King,Brandeis AL,132.75,5.0
Margaret Madden,Yale Deezy,132.5,7.0
Janine Brooks,Bates Merchants of Yeezus,132.5,7.0
Kelley Pope,Rutgers/Brown Power & Control,132.5,7.0
Johnnie Valenzuela,Rutgers/Brown Power & Control,132.5,8.0
Terra Mcdonald,Yale BB,132.5,9.0
Penelope Haynes,Yale SWP,132.25,6.0
Fanny Gentry,Princeton A,132.25,6.0
Sharon Lee,Rutgers War Bears,132.25,7.0
Stephanie Grant,Yale/CCSF Swahili A,132.25,8.0
Stacey Bond,Bates Merchants of Yeezus,132.25,9.0
Kimberly Rodriquez,Columbia Blue Ivy (Carter),132.25,11.0
Tanya Manning,Princeton Legal Liability,131.75,6.0
Dorothea Frederick,Yale BB,131.75,7.0
Jacqueline Jordan,W&M A,131.75,9.0
Anita Mendez,Hopkins IS,131.5,7.0
Kitty Reyes,Yale Deezy,131.5,12.0
Jessie Olsen,Brown Amish Sex,131.25,7.0
Luz Eaton,GW Last SOTY/Penultimate SOTY,131.25,8.0
Jasmine Robertson,Yale/CCSF Swahili A,131.25,9.0
Jerri Chandler,W&M A,131.25,11.0
Tammi Jimenez,Swat MR,131.0,7.0
Melanie Hammond,Yale LR,131.0,8.0
Jenny Whitfield,Columbia/Stanford Sr8bros,131.0,8.0
Tina Barr,Yale BP,131.0,8.0
Kay Kemp,"Columbia A, Why Not A+",131.0,9.0
Misty Reilly,Princeton SJ,131.0,9.0
Magdalena Tucker,Brandeis EN,131.0,10.0
Briana Watson,Princeton A,131.0,11.0
Shawna Cochran,Rutgers War Bears,131.0,12.0
Saundra Clarke,Tufts TC,130.75,7.0
Priscilla Everett,BU BP,130.75,7.0
Tammy Hendrix,Hopkins Church of Chirt,130.75,11.0
Grace Armstrong,Princeton Legal Liability,130.75,13.0
Hallie Schroeder,W&M/UAlbany Hybrid,130.5,7.0
Georgia Lindsay,Brown Final Machination,130.5,8.0
Alexandria Barnett,Hopkins Church of Chirt,130.5,10.0
Johanna Burt,Brown Amish Sex,130.5,14.0
Rachel Cleveland,Middlebury Midd Kid A,130.25,9.0
Wilma Montgomery,Maryland KS,130.25,9.0
Staci Russell,"Columbia A, Why Not A+",130.25,10.0
Marylou Ellis,Hopkins IS,130.25,11.0
Deena Reid,Yale SWP,130.25,13.0
Ilene Frost,Yale BP,130.25,13.0
Maggie Long,Brandeis AL,130.25,14.0
Lidia Trevino,Maryland/Yale B^2 + 2BS + S^2,130.0,10.0
Noemi Stuart,Bates Spouse,130.0,10.0
Lelia Shelton,Brandeis EN,130.0,11.0
Nanette Hickman,GW Last SOTY/Penultimate SOTY,130.0,12.0
Beatriz Whitney,Columbia/Stanford Sr8bros,130.0,12.0
Lavonne Oconnor,Rutgers HP,129.75,7.0
Judith Tyler,Princeton MC,129.75,10.0
Corina Calhoun,BU BP,129.75,12.0
Sally Ray,Brandeis LA,129.5,8.0
Brooke Hood,NU Return of the Pups,129.5,9.0
Angelique Wall,Columbia Moon Unit Zappa: You',129.5,10.0
Madelyn Ball,Wesleyan Josh Lyman,129.5,10.0
Lora Melendez,NU Return of the Pups,129.5,11.0
Paulette Newton,Bates Spouse,129.5,14.0
Roseann Crane,Yale LR,129.5,14.0
Rosalind Soto,Swat MR,129.5,17.0
Amalia Kinney,Wesleyan Amy Gardner,129.375,11.25
Jody Jacobs,Bates Swahili,129.25,9.0
Valarie Curry,Pitt Disposable Dignity,129.25,9.0
Miriam Hester,Brown Final Machination,129.25,14.0
Olive Gilliam,Penn MW,129.0,8.0
Caitlin Evans,Smith Slytherin,129.0,8.0
Flora Mclean,Bates Blouse,129.0,9.0
Christie Copeland,AU Patrick Bateman,129.0,10.0
Marlene Drake,Columbia Blanket Jackson,129.0,10.0
Angie Adams,Maryland KS,129.0,12.0
Lea Weaver,Wellesley Failed System,128.5,8.0
Casandra Holden,Rutgers LP,128.5,9.0
Shawn Greene,Maryland/Yale B^2 + 2BS + S^2,128.5,9.0
Christina Cline,PC HB,128.5,9.0
Jami Kidd,Yale HR,128.5,9.0
Bonnie Skinner,NYU B,128.5,10.0
Faye Shaw,Yale SZ,128.5,10.0
Mildred Robbins,Wesleyan CJ Cregg,128.5,11.0
Vivian Holt,Brandeis Crazy Kids,128.5,12.0
Kris Vaughn,AU Patrick Bateman,128.5,12.0
Gertrude Cote,Rutgers HP,128.5,13.0
Ellen Conway,MIT CSB,128.25,10.0
Serena Mcgee,Middlebury Midd Kid A,128.25,15.0
Jacklyn Hanson,GW B,128.125,11.25
Clarissa Castaneda,NYU A,128.0,9.0
Rae Little,Wellesley Birkenstock A,128.0,10.0
Ernestine Mccormick,Georgetown Bend and Snap,128.0,10.0
Maryellen Guthrie,NYU A,128.0,11.0
Kelly Knapp,Columbia Blanket Jackson,128.0,11.0
Tricia Haley,Wesleyan Josh Lyman,128.0,13.0
Alyce Mooney,W&M/UAlbany Hybrid,128.0,13.0
Evangeline Lowe,Princeton SJ,128.0,17.0
Florine Ferrell,BU Cargo Shorts,127.75,9.0
Alba Randall,Brandeis Yaas Gaga,127.75,10.0
Melisa Combs,Brown Veal of Ignorance,127.75,11.0
Nancy Garrison,Bates Blouse,127.75,14.0
Graciela Riley,Pitt Disposable Dignity,127.75,16.0
Sandra Casey,MIT We Can't Stop,127.5,7.0
Taylor Johns,Maryland DZ,127.5,8.0
Pansy Alexander,AU Elle Woods,127.5,10.0
Katina Mcintyre,Penn JT,127.5,10.0
Leonor Lopez,AU Harvey Specter,127.5,11.0
Alma Dodson,Brandeis Crazy Kids,127.5,11.0
Tracy Jackson,Duke PS,127.5,11.0
Helen Hensley,Columbia Moon Unit Zappa: You',127.5,12.0
Simone Hampton,Wellesley Birkenstock A,127.5,12.0
Sheila Velazquez,AU/GW Hybrid,127.5,12.5
Sheryl Klein,Yale HR,127.5,13.0
Rosie Frazier,AU Harvey Specter,127.5,13.0
Jamie Holder,Wesleyan Amy Gardner,127.5,13.75
Stacy Bailey,Rutgers LP,127.25,10.0
Alejandra Meyers,GW Roundup,127.25,12.0
Sophie Mcguire,Wesleyan Toby Ziegler,127.25,13.0
Leslie Vasquez,AU Frasier Crane,127.25,13.0
Earnestine Pitts,Middlebury pB and j,127.0,7.0
Penny York,Yale CaliBoys,127.0,10.0
Katelyn Key,Brown GP,127.0,10.0
Leta Saunders,Swat ND,127.0,11.0
Berta Galloway,Rutgers Swirl,127.0,11.0
Violet Rowland,Williams Sorry We Can't Think ,127.0,11.0
Edith Ayala,Brandeis Tik Tok,127.0,12.0
Claudette Kline,Penn MW,127.0,13.0
