Team Name,School,Hyrbid School,Debater 1,Debater 2,Wins,Speaks,Ranks
Rutgers/Brown Power & Control,Brown,,Johnnie Valenzuela,Kelley Pope,5,265.0,15.0
Bates Merchants of Yeezus,Bates,,Janine Brooks,Stacey Bond,5,264.75,16.0
Yale BB,Yale,,Dorothea Frederick,Terra Mcdonald,5,264.25,16.0
Yale/CCSF Swahili A,CCSF,,Jasmine Robertson,Stephanie Grant,5,263.5,17.0
Brandeis AL,Brandeis,,Maggie Long,Roxanne King,5,263.0,19.0
Columbia Blue Ivy (Carter),Columbia,,Neva Ware,Kimberly Rodriquez,4,265.75,17.0
Yale Deezy,Yale,,Kitty Reyes,Margaret Madden,4,264.0,19.0
Princeton A,Princeton,,Fanny Gentry,Briana Watson,4,263.25,17.0
Rutgers War Bears,Rutgers,,Shawna Cochran,Sharon Lee,4,263.25,19.0
W&M A,William and Mary,,Jerri Chandler,Jacqueline Jordan,4,263.0,20.0
Yale SWP,Yale,,Deena Reid,Penelope Haynes,4,262.5,19.0
Princeton Legal Liability,Princeton,,Tanya Manning,Grace Armstrong,4,262.5,19.0
Hopkins IS,Hopkins,,Anita Mendez,Marylou Ellis,4,261.75,18.0
Brown Amish Sex,Brown,,Jessie Olsen,Johanna Burt,4,261.75,21.0
GW Last SOTY/Penultimate SOTY,GW,,Nanette Hickman,Luz Eaton,4,261.25,20.0
Hopkins Church of Chirt,Hopkins,,Tammy Hendrix,Alexandria Barnett,4,261.25,21.0
Columbia/Stanford Sr8bros,Stanford,,Beatriz Whitney,Jenny Whitfield,4,261.0,20.0
BU BP,Boston University,,Priscilla Everett,Corina Calhoun,4,260.5,19.0
Yale LR,Yale,,Melanie Hammond,Roseann Crane,4,260.5,22.0
Swat MR,Swarthmore,,Tammi Jimenez,Rosalind Soto,4,260.5,24.0
Brown Final Machination,Brown,,Miriam Hester,Georgia Lindsay,4,259.75,22.0
Maryland KS,Maryland,,Wilma Montgomery,Angie Adams,4,259.25,21.0
W&M/UAlbany Hybrid,UAlbany,,Hallie Schroeder,Alyce Mooney,4,258.5,20.0
Rutgers HP,Rutgers,,Lavonne Oconnor,Gertrude Cote,4,258.25,20.0
Penn MW,Penn,,Claudette Kline,Olive Gilliam,4,256.0,21.0
Yale SZ,Yale,,Gabrielle Valencia,Faye Shaw,4,255.0,22.0
"Columbia A, Why Not A+",Columbia,,Staci Russell,Kay Kemp,3,261.25,19.0
Yale BP,Yale,,Tina Barr,Ilene Frost,3,261.25,21.0
Brandeis EN,Brandeis,,Magdalena Tucker,Lelia Shelton,3,261.0,21.0
Bates Spouse,Bates,,Paulette Newton,Noemi Stuart,3,259.5,24.0
NU Return of the Pups,Northeastern,,Brooke Hood,Lora Melendez,3,259.0,20.0
Princeton SJ,Princeton,,Evangeline Lowe,Misty Reilly,3,259.0,26.0
Maryland/Yale B^2 + 2BS + S^2,Yale,,Lidia Trevino,Shawn Greene,3,258.5,19.0
