ENL,ESL,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
1,,Undefined,Raffy Marshall,Oxford A,21,753,83.7,81,84,83,81,85,83,85,86,85
2,,Undefined,Tommy Peto,Oxford B,22,750,83.3,83,82,82,83,79,84,86,83,88
3,,Undefined,Teck Wei Tan,Oxford C,21,749,83.2,81,78,83,88,87,81,82,84,85
4,,Undefined,Evie Woodforde,USU B,20,748,83.1,84,88,80,80,83,82,86,83,82
4,,Undefined,Mifzal Mohammed,UT MARA A,22,748,83.1,85,81,83,85,84,84,81,79,86
6,,Undefined,Evan Lynyak,Yale A,20,746,82.9,83,85,83,84,81,84,79,82,85
7,,Undefined,Rory Flynn,Durham A,20,745,82.8,86,82,82,82,82,85,80,82,84
7,,Undefined,Dhruva Bhat,Harvard A,21,745,82.8,83,81,82,85,84,84,87,78,81
9,,Undefined,Jasmine Abdullah,UT MARA A,22,744,82.7,83,80,81,85,85,83,81,81,85
9,,Undefined,John Papantoniou,Cambridge A,21,744,82.7,81,83,84,84,84,82,83,80,83
11,,Undefined,Debi Ogunrinde ,Oxford C,21,743,82.6,83,78,81,84,87,81,82,83,84
11,,Undefined,James Leeder,USU A,19,743,82.6,80,82,84,83,83,82,80,86,83
11,,Undefined,Toby Tricks,Oxford B,22,743,82.6,83,83,81,83,78,83,83,84,85
11,,Undefined,Aislin Flynn,Hart House A,20,743,82.6,86,82,79,85,84,79,83,82,83
11,,Undefined,Sophie Large,Oxford A,21,743,82.6,82,82,83,80,84,80,83,85,84
16,,Undefined,Archie Hall,Harvard C,19,742,82.4,81,81,81,83,87,82,82,83,82
16,,Undefined,Danny DeBois,Harvard A,21,742,82.4,82,80,81,83,84,84,86,79,83
16,,Undefined,Alexandra Sundarsingh,Hart House A,20,742,82.4,85,83,80,85,83,79,82,83,82
19,,Undefined,Alex Wu,Harvard C,19,741,82.3,82,82,81,83,86,81,82,82,82
20,,Undefined,James Rankin,AKL A,22,740,82.2,80,82,82,83,81,83,77,85,87
20,,Undefined,James Penn,AKL A,22,740,82.2,81,81,82,82,83,83,77,84,87
22,,Undefined,Emma Johnstone,USU A,19,739,82.1,78,83,83,82,83,83,79,84,84
23,,Undefined,Kez Exley,Durham A,20,738,82,87,83,81,82,80,84,79,80,82
24,,Undefined,Henry Zhang,Yale A,20,735,81.7,82,84,83,82,80,81,79,82,82
25,,Undefined,George Clay,Cambridge B,20,734,81.6,79,80,81,83,79,81,85,83,83
25,,Undefined,Owen Mooney,GUU A,20,734,81.6,80,82,78,81,81,83,83,84,82
25,,Undefined,Katherine Dunbar,Cambridge D,18,734,81.6,79,85,84,80,82,82,82,82,78
28,,Undefined,Kit Mercer,Cambridge A,21,733,81.4,80,79,85,82,81,81,81,79,85
28,1,Undefined,Ameera Natasha Moore,IIUM A,19,733,81.4,77,80,84,78,82,84,84,80,84
28,,Undefined,Tim Asimakis,USU B,20,733,81.4,83,84,80,79,82,80,84,81,80
31,,Undefined,Sara Abdul Rahim,IIUM B,19,732,81.3,77,81,78,80,84,84,84,83,81
31,,Undefined,Zoe Seaman-Grant,Bates A,19,732,81.3,83,80,81,78,83,85,78,81,83
33,2,Undefined,Mubarrat Wassey,IIUM A,19,731,81.2,78,77,84,78,83,84,83,80,84
34,,Undefined,Andrew Elder,MAD A,18,730,81.1,80,81,81,81,79,83,82,83,80
34,,Undefined,Aodhan Peelo,UCD LawSoc A,19,730,81.1,81,78,78,81,83,82,81,83,83
34,,Undefined,Bethany Garry,GUU A,20,730,81.1,82,78,77,80,81,83,83,82,84
37,,Undefined,Matt Davis,Bates A,19,729,81,81,80,79,78,83,84,79,82,83
37,,Undefined,James Stratton,USU C,19,729,81,77,79,78,84,80,84,80,83,84
37,,Undefined,Stephanie White,USU D,18,729,81,84,83,79,79,82,80,79,82,81
37,,Undefined,Etsuko Lim,Cambridge B,20,729,81,79,79,81,81,79,81,84,83,82
37,,Undefined,Matt Hazell,Cambridge D,18,729,81,80,85,83,79,82,82,80,80,78
42,3,Undefined,Dan Lahav,Tel Aviv A,20,728,80.9,78,80,74,80,81,85,85,80,85
42,,Undefined,David Slater,Stanford B,17,728,80.9,78,76,81,84,80,81,83,83,82
42,,Undefined,Michael Rees,USU E,18,728,80.9,80,77,81,82,79,83,84,84,78
45,,Undefined,Isha Jain,NLSIU A,17,727,80.8,78,83,83,80,79,81,82,83,78
45,,Undefined,Emma Boogeardt,UWADU A,19,727,80.8,79,77,79,81,83,82,84,83,79
45,,Undefined,Marina Tan,Yale D,17,727,80.8,78,81,80,84,79,77,80,86,82
45,,Undefined,Daniel Kirkby,UWADU A,19,727,80.8,78,80,78,79,83,80,85,83,81
49,,Undefined,Vanshaj Jain,NLSIU A,17,726,80.7,78,81,84,80,79,82,80,84,78
50,,Undefined,Zhen Huang,Yale B,18,725,80.6,81,76,79,83,80,78,84,84,80
50,,Undefined,Nicholas Salmon,UQDS C,19,725,80.6,78,79,79,82,80,82,77,86,82
50,,Undefined,Sadie MacDonald,UQDS B,18,725,80.6,81,80,83,80,77,78,84,85,77
50,,Undefined,Lucy Lester,USU F,18,725,80.6,79,78,78,83,79,75,84,83,86
50,,Undefined,Thomas Goldie,ANU A,17,725,80.6,78,81,77,79,84,82,80,81,83
50,,Undefined,Aaron Luke,LSE B,18,725,80.6,84,79,81,81,80,77,82,82,79
50,,Undefined,Elana Leone,Stanford B,17,725,80.6,77,77,82,85,80,81,80,83,80
57,,Undefined,Venu Katta,TCWM A,15,724,80.4,80,81,77,83,77,85,82,84,75
57,,Undefined,Imogen Harper,USU C,19,724,80.4,78,79,77,83,79,85,78,83,82
57,,Undefined,Alexandra Downie,USU E,18,724,80.4,81,77,80,82,78,81,83,83,79
57,,Undefined,Josh Spiegel,NEU A,16,724,80.4,82,80,84,80,77,80,77,80,84
57,,Undefined,Brynne Guthrie,LSE A,17,724,80.4,81,80,82,81,82,79,78,78,83
57,4,Undefined,Floris Holstege,LEIDEN C,17,724,80.4,78,82,84,79,79,82,79,79,82
57,,Undefined,Thomas Parnell,UQDS B,18,724,80.4,80,79,84,79,76,79,84,84,79
64,5,Undefined,Ognjen Miladinović,Belgrade B,16,723,80.3,82,79,82,80,83,80,78,77,82
64,,Undefined,Sam Molloy,USU F,18,723,80.3,80,79,78,83,76,75,85,81,86
64,,Undefined,Harry Elliott,Stanford A,18,723,80.3,80,77,81,78,79,79,82,83,84
64,,Undefined,Antonia Bellas,UQDS C,19,723,80.3,79,77,79,83,81,81,78,84,81
68,,Undefined,Clyde Welsh,USU D,18,722,80.2,82,81,78,77,83,79,79,82,81
68,,Undefined,Justin Katz,Yale B,18,722,80.2,80,76,80,81,80,77,82,85,81
68,6,Undefined,Syarif Fakhri,IIUM B,19,722,80.2,77,80,77,79,82,83,84,80,80
68,,Undefined,Julia Milden,QDU A,18,722,80.2,75,78,81,81,83,81,83,80,80
68,,Undefined,Hamish Barker,LSE B,18,722,80.2,82,78,82,83,79,77,81,80,80
68,,Undefined,Jane Carroll,Melbourne A,20,722,80.2,78,80,80,77,80,78,81,86,82
68,,Undefined,Zoe Brown,Melbourne A,20,722,80.2,77,80,80,78,78,80,80,88,81
68,,Undefined,Nicholas Quah,Brown A,18,722,80.2,78,81,83,81,82,78,77,81,81
68,,Undefined,Katrina Chan,Ateneo A,18,722,80.2,82,78,81,77,79,83,79,80,83
68,,Undefined,R. Cara Riantoputra,Indonesia C,17,722,80.2,78,82,80,84,80,80,77,82,79
78,,Undefined,Jerusalem Demsas,TCWM A,15,721,80.1,81,82,78,80,76,85,79,84,76
78,,Undefined,Darion Hotan,KCL A,16,721,80.1,76,84,77,83,74,82,86,80,79
78,,Undefined,Andrei Kristian Buendia,Ateneo A,18,721,80.1,83,77,80,78,79,82,79,80,83
78,7,Undefined,Alif Azadi Taufik,Indonesia C,17,721,80.1,77,83,81,83,81,80,79,80,77
78,,Undefined,Surya Kumaravel,UCL B,17,721,80.1,78,81,82,82,76,82,80,81,79
83,8,Undefined,Roel Becker,LEIDEN B,17,720,80,79,80,76,82,83,77,79,83,81
83,,Undefined,Alexandra Johnson,Penn A,18,720,80,80,76,80,78,78,83,83,80,82
83,,Undefined,Hannah Tyndall,LSE A,17,720,80,82,81,80,80,80,80,78,77,82
83,8,Undefined,Devin Van den berg,LEIDEN B,17,720,80,77,81,78,81,83,77,77,83,83
87,,Undefined,Joonpyo Sohn,Brown A,18,719,79.9,76,80,82,80,80,79,78,82,82
87,,Undefined,Bostan Nurlanov,ANU A,17,719,79.9,78,81,78,80,82,80,80,80,80
87,,Undefined,Isabella Olson,Vermont B,17,719,79.9,81,81,80,84,75,77,82,83,76
87,,Undefined,Ankur Biswas,Cornell B,17,719,79.9,78,79,79,79,84,78,79,81,82
87,,Undefined,Molly Dale,MAD A,18,719,79.9,76,79,81,80,80,82,80,82,79
87,,Undefined,Patrick Holland,Swarthmore B,14,719,79.9,77,77,83,79,81,78,84,83,77
87,10,Undefined,Lisa Schallenberg,LEIDEN C,17,719,79.9,77,81,82,79,79,83,77,80,81
94,,Undefined,Sophie Scharlin-Pettee,Vermont B,17,718,79.8,80,80,79,83,76,78,82,83,77
94,,Undefined,Alessandra Chinsen,Melbourne B,16,718,79.8,79,83,77,77,81,84,79,81,77
94,,Undefined,Catherine Zheng,Harvard B,17,718,79.8,80,79,78,79,84,80,82,80,76
94,,Undefined,Nicole Liu,UCL B,17,718,79.8,79,80,83,83,74,82,80,79,78
94,,Undefined,Miriam Pierson,Swarthmore A,16,718,79.8,77,81,82,80,80,78,80,79,81
94,,Undefined,Nathan Raab,Princeton A,16,718,79.8,77,79,82,79,81,78,81,82,79
94,,Undefined,Lauren Ringrose,QUTDS A,18,718,79.8,75,80,78,78,81,81,80,82,83
94,,Undefined,Rishabh Tagore,Penn A,18,718,79.8,79,75,82,79,77,78,83,80,85
102,,Undefined,Liam Dennis,VUW A,17,717,79.7,76,74,81,80,81,83,78,84,80
102,11,Undefined,Đorđe Jovićević,Belgrade A,17,717,79.7,81,77,77,79,75,80,84,85,79
102,,Undefined,Adam Stairs,UCD LawSoc A,19,717,79.7,79,79,78,79,81,80,80,81,80
102,11,Undefined,Janko Djordjevic,Belgrade B,16,717,79.7,81,78,80,81,80,80,78,76,83
102,,Undefined,Maddy Nash,VUW A,17,717,79.7,76,74,79,81,83,83,78,83,80
102,,Undefined,Bobbi Leet,Stanford A,18,717,79.7,81,78,79,77,78,81,81,81,81
102,11,Undefined,Sissi Li Zhou,NEU A,16,717,79.7,81,79,79,80,75,81,80,79,83
109,,Undefined,Cian Luddy,UCC Phil A,15,716,79.6,80,85,79,76,77,79,81,78,81
109,,Undefined,Sinan Ozbay ,Princeton A,16,716,79.6,78,78,81,78,81,77,82,81,80
109,,Undefined,Nish Hegde,Edinburgh A,15,716,79.6,80,82,80,77,83,78,76,76,84
109,,Undefined,Tim Luciano,Brandeis A,18,716,79.6,75,77,76,82,79,82,83,81,81
109,,Undefined,Camara Hudson,Vermont A,16,716,79.6,80,78,79,76,79,81,82,82,79
109,,Undefined,Amanda Chen,Harvard B,17,716,79.6,80,79,78,78,84,78,82,80,77
109,,Undefined,Laura Purcell,UT Sydney A,15,716,79.6,79,76,76,80,83,82,79,84,77
109,,Undefined,Bailey Reid,KCL A,16,716,79.6,75,83,75,83,75,83,85,79,78
109,,Undefined,Andrew Bowles,GWU A,17,716,79.6,82,78,82,80,80,76,81,79,78
109,,Undefined,Sebastian Rees,Oxford D,17,716,79.6,77,80,80,80,82,79,79,79,80
109,14,Undefined,Tom Manor,Tel Aviv B,17,716,79.6,81,82,79,80,79,76,73,85,81
120,,Undefined,Miriam Kohn,URDU A,16,715,79.4,80,76,78,79,82,82,76,80,82
120,,Undefined,Ryan O'Rourke,UT Sydney A,15,715,79.4,80,77,77,79,82,82,81,80,77
120,,Undefined,Benjamin Anderson,Stanford D,13,715,79.4,79,77,78,82,77,81,81,82,78
120,,Undefined,Karan Bhuwalka,IITB A,18,715,79.4,75,79,79,81,78,76,82,83,82
120,,Undefined,Sterling Higa,Hawaii A,16,715,79.4,75,74,79,83,82,81,85,78,78
120,,Undefined,Pragya Malik,Princeton C,18,715,79.4,77,80,80,80,81,77,82,80,78
120,,Undefined,Rubin Danberg-Biggs,Cornell B,17,715,79.4,80,78,79,79,83,77,77,79,83
127,,Undefined,Brynde Kreft,UCT A,17,714,79.3,81,78,81,82,82,77,77,79,77
127,,Undefined,Mitchell Dorbyk,QDU B,17,714,79.3,76,79,76,78,80,80,81,81,83
127,,Undefined,Xavier Sottile,Yale D,17,714,79.3,77,79,80,83,77,77,79,84,78
127,,Undefined,Matt Donaghy,Swarthmore B,14,714,79.3,78,77,83,79,79,77,83,81,77
127,15,Undefined,Ayal Hayut man,Tel Aviv A,20,714,79.3,76,78,75,80,80,83,83,76,83
132,,Undefined,Danny Jaffe,Brandeis A,18,713,79.2,75,79,77,81,79,80,83,78,81
132,,Undefined,Lucas Li,NUS A,15,713,79.2,78,84,79,81,77,73,82,82,77
132,,Undefined,David Wang,GWU A,17,713,79.2,82,78,83,78,78,76,83,77,78
132,,Undefined,Tara Bansal,Duke A,19,713,79.2,78,80,76,73,79,81,78,86,82
132,,Undefined,Alasdair Donovan,Cambridge C,17,713,79.2,81,80,79,75,79,81,77,83,78
137,,Undefined,Lloyd Lyall,Stanford D,13,712,79.1,77,78,78,81,79,79,82,81,77
137,16,Undefined,Tal Mendelson,HUJI A,17,712,79.1,74,78,80,78,80,76,79,85,82
137,,Undefined,Ryan Tarte,Vermont A,16,712,79.1,79,76,79,77,79,80,82,81,79
140,,Undefined,Sarah Bostock,Melbourne B,16,711,79,80,83,76,77,80,83,78,80,74
140,,Undefined,Drew Latimer,TDS A,16,711,79,79,78,78,81,78,78,78,78,83
140,,Undefined,Lydia Day,Cambridge C,17,711,79,80,79,77,78,76,82,79,82,78
140,,Undefined,Katie McLean,Edinburgh A,15,711,79,78,80,79,77,83,77,76,77,84
140,,Undefined,William Berthelot,UNSW A,15,711,79,77,81,77,77,79,84,80,79,77
140,,Undefined,Dan Stoyell,Cornell A,13,711,79,83,78,82,77,80,76,79,78,78
140,,Undefined,Harry Zhang,Hopkins A,16,711,79,80,76,80,78,80,78,82,81,76
140,,Undefined,Eric Ramoutar,Duke A,19,711,79,77,81,73,74,79,79,79,87,82
148,,Undefined,Emily Williams,Otago A,14,710,78.9,77,81,78,80,76,81,78,81,78
148,,Undefined,Alice Sowry,Otago A,14,710,78.9,78,82,76,79,78,83,76,80,78
148,,Undefined,Amelia Kearney,MAD B,13,710,78.9,80,79,78,81,77,78,78,80,79
148,,Undefined,Luke Rickmond,QUTDS A,18,710,78.9,74,79,78,77,79,80,81,80,82
148,,Undefined,Kuan Hian Tan,Hopkins A,16,710,78.9,79,75,81,78,80,79,81,81,76
148,,Undefined,Shaheed Brooks,Morehouse B,14,710,78.9,80,76,75,82,80,81,76,83,77
148,,Undefined,Sam Erickson,Alaska A,17,710,78.9,79,78,75,77,78,83,81,80,79
148,,Undefined,William Maidment,QDU A,18,710,78.9,74,78,80,79,80,79,80,80,80
148,,Undefined,Méabh McMahon,UCC Phil A,15,710,78.9,80,83,78,77,78,77,80,77,80
157,17,Undefined,Jelisaveta Stanisic,PEP A,16,709,78.8,77,79,82,77,76,77,79,83,79
157,,Undefined,Jaewon Kim,Princeton C,18,709,78.8,76,79,78,77,80,76,83,81,79
157,,Undefined,Cassandra Cervi,UWODS A,17,709,78.8,76,77,79,80,76,80,83,79,79
157,,Undefined,Ksenia Podvoiskaia,QDU B,17,709,78.8,75,77,77,77,80,80,80,80,83
157,,Undefined,Arlo Alexander Meylan,UNSW B,15,709,78.8,81,78,79,82,78,80,76,79,76
157,,Undefined,John Hajek,Melbourne C,17,709,78.8,77,77,78,77,80,78,80,79,83
163,,Undefined,Emily Phillimore,UWADU B,14,708,78.7,81,80,79,77,80,78,79,78,76
163,,Undefined,Tamara Jenkin,VUW B,14,708,78.7,81,80,80,79,77,73,74,79,85
163,,Undefined,Tessa Holtzman,Bates B,14,708,78.7,78,79,77,82,79,82,81,78,72
163,,Undefined,Alexander Beaumont,McGill A,17,708,78.7,76,80,80,78,74,77,81,79,83
163,,Undefined,Mishal Ashraf,McGill B,15,708,78.7,76,83,77,82,77,77,77,79,80
163,,Undefined,Megan Wilson,Yale C,15,708,78.7,80,78,76,78,76,81,79,82,78
163,,Undefined,Rebecca Blair,Cornell A,13,708,78.7,79,78,83,77,81,77,78,79,76
163,,Undefined,Aidan Patrick,UCL A,17,708,78.7,80,75,78,78,79,78,81,81,78
163,,Undefined,Nicholas Carverhill,YNC A,15,708,78.7,80,78,78,78,75,80,84,77,78
163,,Undefined,Ajinkya Deshpande,IITB A,18,708,78.7,74,79,80,82,74,76,78,82,83
163,18,Undefined,Ilija Ivanišević,Belgrade A,17,708,78.7,81,76,75,79,75,79,82,83,78
174,,Undefined,Fionn Adamian,McGill C,15,707,78.6,78,79,79,79,73,75,80,81,83
174,,Undefined,Elle Wilson,Stanford E,15,707,78.6,80,76,76,83,79,75,76,80,82
174,,Undefined,Giraldine Duff,Hawaii A,16,707,78.6,76,75,77,82,80,81,84,75,77
174,,Undefined,Richard Ngo,Oxford D,17,707,78.6,77,80,78,79,80,78,78,78,79
174,,Undefined,Mattea Roach,Hart House C,14,707,78.6,77,79,76,81,78,79,80,79,78
174,,Undefined,Jacob Rock,MQU A,15,707,78.6,78,81,79,75,80,77,80,79,78
174,,Undefined,Taha Masud,DRUMS A,16,707,78.6,77,77,84,79,82,76,76,79,77
174,,Undefined,Matthew Creese,BPP A,16,707,78.6,76,80,81,81,77,74,81,78,79
174,,Undefined,Matthieu Ostrander,Alaska B,16,707,78.6,77,77,78,80,78,81,78,82,76
174,19,Undefined,Miloš Marjanović,Belgrade C,14,707,78.6,78,82,80,78,76,76,77,84,76
174,19,Undefined,Noam Dahan,Tel Aviv B,17,707,78.6,80,84,78,77,78,74,72,85,79
